naics,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
453998,9750,2648,837,330,183,102,67,53,72,75,33,24,11,11,2,6,6,2,2,1,,3,6
454111,18877,3412,1273,598,345,217,149,99,191,186,82,99,50,63,34,28,40,29,29,23,12,44,112
454112,294,52,18,7,5,7,3,3,1,3,1,4,,,4,,1,1,2,1,1,,2
454113,2762,766,359,184,114,72,52,45,63,121,65,78,44,45,29,33,31,11,26,15,5,14,69
454210,2505,433,170,83,59,31,23,11,26,31,21,16,13,9,5,3,4,3,1,1,1,2,6
454310,2000,1287,567,254,167,100,69,52,75,81,45,54,27,34,15,4,10,8,6,1,3,9,3
454390,14457,2457,762,331,204,108,63,52,76,98,46,36,23,26,13,10,7,7,9,5,1,6,18
481111,102,22,10,8,10,4,3,7,8,12,3,12,5,11,1,3,5,5,5,2,2,7,13
481112,124,18,6,8,6,2,1,4,1,7,4,6,6,7,3,1,5,3,1,1,,2,5
481211,835,174,91,62,40,29,20,12,26,26,13,19,12,9,10,6,10,11,8,2,3,12,35
481212,99,14,3,4,6,2,,1,,4,5,4,1,2,,,1,,1,1,2,2,1
481219,368,69,30,22,6,5,5,3,10,6,3,2,4,2,1,1,5,2,,1,,2,1
483111,133,17,13,6,2,5,5,2,5,4,3,2,2,3,1,4,1,1,,1,,4,4
483112,26,4,2,1,1,,,,,3,2,1,,1,,,,,,,,3,3
483113,167,55,30,14,4,8,8,10,10,10,6,9,9,8,3,5,5,4,3,3,2,5,7
483114,64,17,8,2,8,4,1,1,2,2,1,1,2,2,1,,2,,,,,,
483211,144,49,27,11,8,8,3,5,9,7,2,4,3,4,5,2,4,2,1,1,2,6,7
483212,128,28,10,7,2,2,1,1,3,5,3,2,,1,1,,1,1,,,,,
484110,19094,3514,1425,704,398,283,180,146,191,221,127,103,56,58,34,20,38,16,14,10,13,20,37
484121,21514,2887,1263,681,448,330,249,186,280,374,195,217,110,119,66,33,59,35,30,22,18,50,81
484122,3138,439,169,79,46,37,35,17,24,59,34,36,14,21,12,8,17,7,8,7,6,13,24
484210,3651,1246,641,405,259,195,133,90,121,140,67,50,19,27,11,10,9,5,4,4,1,5,5
484220,19219,3896,1569,810,519,346,230,160,214,265,137,123,64,79,30,21,35,16,22,14,11,22,45
484230,5406,1067,442,238,177,129,93,75,96,141,73,107,62,75,43,22,33,19,25,13,13,27,55
485111,17,3,1,1,,,,,,,,1,,,,1,,,,,,,
485112,3,,,,,,,,,,,,1,,,,1,,,,,1,1
485113,224,58,37,18,15,16,5,7,12,18,9,17,13,7,2,3,9,1,2,1,,3,7
485119,9,3,2,1,1,,1,,,1,2,1,,,,,2,,1,,,1,1
485210,136,40,26,17,9,17,2,5,8,11,3,7,9,2,3,,2,1,1,,,1,2
485310,2207,462,192,111,69,38,38,16,33,33,14,6,7,8,3,3,4,,1,1,1,3,2
485320,3441,601,291,136,100,47,52,37,56,68,30,37,11,6,2,3,3,2,3,,1,1,1
485410,958,394,226,164,115,93,78,59,90,150,80,79,58,56,20,11,23,7,9,6,,8,8
485510,480,166,122,68,46,49,42,33,42,67,29,31,10,13,6,2,9,4,3,2,,2,3
485991,1085,463,267,160,94,79,73,58,68,94,45,45,38,42,22,14,28,3,12,8,,5,10
485999,835,168,68,44,41,20,10,17,17,20,18,7,9,10,5,2,6,4,5,3,2,3,7
486110,22,3,4,,,,1,,1,,1,1,,1,1,1,1,3,1,2,1,7,15
486210,26,17,6,5,2,1,1,1,2,3,2,1,,1,1,2,2,3,4,4,4,10,20
486910,13,4,1,1,3,1,,,,2,,1,,1,,,2,1,3,3,1,8,15
486990,5,2,,,,,,,,,,,,,,,,,2,,,1,7
487110,376,99,36,22,17,11,11,6,13,13,5,8,2,6,3,2,1,1,1,1,,3,5
487210,1289,183,77,40,30,13,13,8,12,21,8,7,7,3,2,1,2,3,1,3,1,,2
487990,129,34,10,6,2,8,6,,2,4,2,,1,3,,,2,1,,,,1,
488111,4,,1,,,,,,,,1,,,,,1,1,1,,,,,1
488119,445,193,112,64,41,38,26,20,19,20,18,15,4,10,8,2,10,10,7,3,7,10,14
488190,1685,488,200,129,57,46,37,26,41,49,29,28,19,22,15,3,12,17,4,5,8,13,33
488210,162,85,54,31,16,18,10,9,15,14,13,15,7,10,7,6,5,11,10,4,4,4,18
488310,135,49,18,11,6,4,4,1,2,6,7,2,7,2,,3,7,4,4,3,2,5,8
488320,80,30,27,9,7,10,5,6,2,15,11,7,8,10,4,8,9,6,5,5,2,7,9
488330,499,66,39,18,15,17,1,11,12,12,4,15,4,5,2,3,4,3,,2,2,4,5
488390,459,94,55,23,21,11,7,12,8,18,10,16,10,2,3,1,4,3,2,,2,6,3
488410,5048,1648,704,349,180,121,73,51,59,57,9,6,3,6,3,2,2,2,2,1,2,1,3
488490,979,184,89,50,31,19,15,14,17,16,17,10,10,14,6,3,10,11,8,2,,7,17
488510,8431,2743,1067,515,312,217,157,98,179,204,111,129,64,84,35,26,50,16,26,20,13,40,61
488991,674,247,67,42,24,18,11,8,8,25,9,13,8,6,4,4,1,1,5,2,,1,2
488999,235,19,5,7,3,3,2,1,,4,,1,,1,,,2,,1,,1,,
492110,2604,936,410,170,84,33,26,21,24,32,21,17,13,12,4,3,8,6,2,2,1,2,6
492210,2561,740,341,132,70,44,23,20,30,32,19,23,11,8,4,4,6,3,4,2,,1,4
493110,1394,614,320,204,128,119,98,85,145,221,165,240,149,172,122,77,169,91,114,71,50,171,387
493120,182,77,51,25,30,29,16,16,20,40,24,20,11,15,6,5,8,8,7,4,5,8,33
493130,153,57,18,22,9,6,4,7,8,9,6,12,6,13,4,7,9,3,2,2,1,4,17
493190,379,145,59,52,24,24,27,19,28,42,17,44,32,47,23,17,32,20,26,14,11,36,106
511110,1892,974,469,219,134,107,81,56,82,92,48,62,33,48,19,20,16,11,11,8,9,6,18
511120,2666,782,377,201,102,77,51,45,65,79,63,66,36,38,25,15,24,9,13,10,5,12,30
511130,1417,286,134,72,61,32,23,20,35,45,27,32,21,18,6,4,10,4,4,5,3,14,32
511140,366,103,58,25,12,9,5,9,7,14,8,8,8,10,5,4,5,,2,3,3,4,6
511191,47,11,7,3,1,,,,3,,2,5,2,,,,,,2,,,,2
511199,468,107,41,8,6,6,7,5,9,8,6,4,1,2,1,,,,3,,2,3,2
511210,2918,907,515,303,258,169,116,111,150,199,105,153,62,75,32,28,42,26,28,24,14,36,72
512110,11532,1041,342,189,107,68,51,39,48,69,33,28,28,13,12,2,8,7,8,3,1,7,24
512120,250,54,21,14,3,2,3,4,3,2,,4,2,,1,1,2,,,,,1,3
512131,463,357,255,179,128,107,64,38,52,55,23,31,16,23,12,8,8,6,8,,,3,9
512132,142,23,9,5,10,1,5,,2,1,1,2,,,,,1,1,1,,,,
512191,1773,199,93,29,28,29,18,12,20,14,13,16,7,6,4,2,2,1,1,,,2,8
512199,154,32,9,5,1,2,2,2,,3,,,,,1,,,,,,,1,2
512210,316,32,13,3,4,1,,,,,,1,,,,,,,,,,1,1
512220,214,40,15,7,2,5,2,4,4,1,,1,2,1,1,,,1,,1,,1,2
512230,547,68,29,9,6,4,1,2,2,6,2,5,,1,1,2,1,,,1,,1,1
512240,1410,159,43,17,14,4,4,3,7,6,5,2,1,,,,,,,1,,1,1
512290,278,40,24,5,3,6,3,5,4,2,1,3,1,1,,,1,2,,,,,
515111,266,62,31,21,11,12,10,4,1,9,10,7,,3,2,2,2,3,5,3,1,4,7
515112,951,758,429,232,133,88,57,40,47,61,39,25,14,19,12,7,9,7,9,7,3,3,10
515120,348,107,62,37,20,25,24,19,21,34,25,35,15,13,8,9,9,8,5,5,4,7,17
515210,186,76,36,12,7,9,4,3,7,15,5,7,4,2,4,,2,3,5,2,1,2,18
517110,1431,607,307,176,115,91,68,53,93,123,70,62,38,33,17,7,23,9,11,8,6,12,34
517210,345,108,48,34,17,14,7,10,28,17,19,23,12,16,1,2,7,3,4,3,1,4,19
517410,258,56,24,9,8,2,10,4,2,7,6,6,3,5,4,3,2,3,1,,,2,5
517911,1250,250,84,53,28,13,21,10,26,31,24,15,5,9,3,4,7,3,6,4,1,4,5
517919,1766,365,107,56,25,23,25,13,27,19,13,18,5,10,1,4,5,3,6,1,1,7,7
518210,4602,1261,619,380,296,220,195,139,200,319,185,230,130,120,81,40,76,45,48,38,26,72,198
519110,115,39,16,8,2,4,1,4,4,6,1,3,2,,1,,1,4,,2,1,1,7
519120,897,442,205,96,65,38,28,15,22,40,14,11,9,6,4,3,3,1,3,1,2,,2
519130,4202,725,313,149,111,73,36,44,53,99,52,64,28,34,22,20,24,13,13,15,14,22,51
519190,1213,105,36,16,8,12,5,3,6,11,5,6,2,2,2,5,1,2,1,1,1,4,7
521110,,,,,,,,,,,,,,,,,,2,5,3,,2,
522110,105,274,402,411,387,344,351,278,464,691,427,447,230,215,93,70,88,39,33,27,12,37,48
522120,31,57,57,48,57,31,27,35,78,98,82,110,42,55,22,20,17,15,11,8,7,13,19
522130,1874,1202,528,325,245,186,150,131,179,324,167,220,128,129,68,34,38,10,10,3,3,2,10
522190,9,1,,,,,,,,,,,,,,,,,,,,1,2
522210,178,14,3,2,3,,,1,1,,4,2,4,1,2,1,2,1,2,,3,3,22
522220,1459,337,126,70,55,32,24,19,30,43,18,33,13,25,12,14,29,16,16,9,4,27,71
522291,2131,452,157,76,62,40,26,20,44,62,27,33,22,15,19,5,11,6,10,7,2,15,24
522292,1601,312,159,85,75,47,35,28,54,106,65,101,56,82,43,36,49,20,32,16,7,26,40
522293,170,20,2,5,2,1,,2,1,2,,,,,,,1,,,,,,5
522294,114,12,7,1,1,1,1,2,2,2,2,1,,1,1,1,4,1,1,,,,5
522298,3578,1210,344,131,65,53,20,28,35,52,24,24,15,20,9,5,9,5,7,,3,9,20
522310,5384,698,196,68,42,29,23,14,22,33,17,25,18,17,10,6,6,2,10,4,2,5,8
522320,1919,312,120,63,47,26,20,24,32,45,29,36,16,25,9,5,7,9,8,10,6,5,27
522390,2762,674,187,78,57,26,30,28,41,47,28,28,20,18,11,11,15,5,13,9,4,18,18
523110,1701,284,110,55,33,22,16,11,29,26,15,24,19,25,8,5,9,5,13,7,2,14,29
523120,6836,908,221,89,58,45,38,28,40,57,36,35,20,30,15,9,21,12,16,6,5,28,52
523130,424,81,37,9,8,1,8,4,3,6,9,4,4,4,4,1,3,2,4,2,1,5,10
523140,783,140,49,23,11,5,7,4,5,6,8,7,1,3,4,,6,3,1,2,,1,4
523210,,,,,1,1,,,1,,1,,,2,,,2,1,,2,,1,
523910,5658,726,200,137,49,41,38,23,34,57,40,38,28,28,21,10,19,13,14,10,7,18,42
523920,14608,3148,945,494,275,169,125,107,153,189,89,104,58,81,44,24,42,29,49,24,12,44,88
523930,15342,1468,346,146,106,83,40,35,55,68,35,42,14,34,16,17,30,12,16,12,3,21,59
523991,1299,188,92,65,53,26,24,21,19,11,11,15,11,13,10,4,9,11,7,8,5,15,31
523999,864,65,17,7,10,1,1,3,4,4,5,3,3,2,1,2,1,1,1,1,1,5,11
524113,385,50,18,13,17,11,14,6,11,17,11,20,11,8,4,7,8,7,10,4,10,28,40
524114,350,55,34,16,19,5,10,11,16,25,24,22,21,21,18,11,18,10,18,10,5,29,82
524126,1121,403,120,58,48,24,19,18,33,51,48,35,35,49,26,12,25,21,26,12,10,24,46
524127,619,154,40,15,14,12,6,5,9,5,8,3,2,5,3,1,4,1,1,2,,3,9
524128,253,42,16,17,13,4,2,4,5,9,10,10,3,1,3,,9,,2,1,1,3,18
524130,66,16,5,4,,5,,1,2,7,2,4,1,5,1,3,2,1,4,3,,3,11
524210,92325,19806,4109,1636,858,553,353,262,404,401,202,199,98,122,76,41,67,36,46,33,18,45,95
524291,2459,398,135,77,37,23,23,18,30,31,11,19,9,15,4,4,7,6,4,2,2,5,15
524292,1053,444,234,196,108,78,53,46,66,129,58,68,39,50,23,17,25,14,13,12,6,29,66
524298,1516,230,76,32,30,7,9,7,12,23,12,24,6,9,6,3,6,3,5,3,2,8,18
525910,108,12,6,5,,5,1,1,2,,1,2,2,1,1,1,,,1,3,,3,2
525990,712,67,21,13,8,7,2,1,4,7,4,2,3,5,4,1,,,1,2,1,4,6
531110,38975,6952,1772,690,413,248,190,126,199,272,147,148,105,129,85,47,88,33,42,30,16,21,39
531120,23160,3506,1037,520,278,196,124,92,144,201,92,116,72,83,39,41,50,37,29,24,15,31,75
531130,8466,991,153,52,34,22,15,16,17,21,12,14,9,11,7,4,4,2,5,,,1,4
531190,6094,941,201,77,39,27,17,10,19,25,15,16,12,14,6,3,5,6,7,1,3,5,7
531210,77230,5245,1248,505,282,163,130,93,126,175,86,97,47,45,21,17,24,12,10,13,4,15,36
531311,21402,5084,1905,1001,634,410,282,238,349,507,280,286,162,175,79,54,80,29,20,18,8,19,28
531312,9724,2310,939,504,270,219,136,92,156,200,107,120,53,64,23,22,33,13,19,10,6,18,26
531320,11317,806,222,74,50,24,14,7,12,20,11,11,3,7,3,5,2,2,3,3,1,,7
531390,12148,1138,385,178,93,67,35,25,53,57,31,25,18,23,8,6,15,6,5,6,4,5,24
532111,1373,288,86,34,28,13,10,8,18,18,10,11,7,5,7,3,1,3,6,1,,2,5
532112,273,65,26,10,10,6,4,4,4,8,4,6,1,6,2,2,3,3,,1,,2,4
532120,1093,200,90,32,27,14,12,15,16,32,12,27,20,20,8,5,13,8,7,2,4,7,12
532210,286,115,47,22,21,8,11,11,11,14,11,9,5,6,2,3,,2,1,,,1,3
532220,400,135,46,21,13,8,3,4,5,6,5,7,6,3,1,,,,1,,,,
532230,930,317,79,29,17,7,6,2,7,7,4,,,1,3,,,,,1,1,,3
532291,203,144,70,47,27,16,13,11,11,19,10,10,7,5,3,2,3,2,6,4,,9,15
532292,1463,249,86,37,30,14,12,10,10,11,2,4,1,2,,,1,3,,1,,2,2
532299,1941,648,297,170,116,91,54,38,42,51,21,20,10,10,9,5,3,2,1,,1,,5
532310,1238,632,234,105,52,51,22,8,18,23,10,8,4,3,2,2,1,,,1,,,3
532411,436,66,18,17,6,8,6,3,2,6,5,1,1,2,3,2,,3,2,2,3,3,8
532412,1294,438,205,139,79,56,29,30,58,65,32,32,16,27,10,15,11,5,12,9,4,10,17
532420,277,73,22,14,12,6,3,4,2,10,4,1,,3,4,2,,1,1,1,,3,7
532490,2497,747,340,222,133,98,63,56,82,101,46,53,36,32,12,15,17,10,20,6,8,16,33
533110,1401,306,153,68,48,27,22,20,27,36,22,29,14,19,15,8,12,6,16,6,5,29,68
541110,125264,23122,6794,3064,1643,1053,761,515,734,873,423,390,182,184,76,42,64,38,52,21,9,11,16
541191,5017,1325,419,195,118,53,35,34,56,59,35,27,16,13,8,7,10,7,8,7,1,8,13
541199,2635,360,108,49,32,25,16,7,13,19,6,17,5,8,2,3,2,2,1,1,1,1,3
541211,36730,10209,3054,1254,601,358,225,155,235,285,122,104,58,40,21,14,20,2,10,5,5,9,24
541213,12012,2691,935,470,277,184,113,91,121,148,56,44,13,17,9,2,1,1,3,,3,1,8
541214,1875,631,307,207,148,112,106,89,128,191,90,139,91,98,47,41,59,32,25,16,11,29,75
541219,29021,4784,1255,565,292,222,136,118,170,191,106,96,61,71,35,25,44,26,21,19,20,39,103
541310,13497,3478,1271,577,329,193,156,95,154,182,98,85,35,30,14,6,13,7,6,4,1,5,14
541320,3624,742,254,93,58,31,28,13,25,14,9,10,3,3,2,2,4,1,,,3,,2
541330,27779,6394,3044,1706,1001,763,523,413,560,837,394,426,214,228,129,86,101,72,76,51,28,92,153
541340,1977,224,64,30,14,7,3,6,6,5,2,3,3,3,1,1,,,2,1,,2,3
541350,4989,392,114,47,20,18,18,9,11,15,8,10,4,1,2,1,,1,,1,,1,5
541360,789,78,31,10,12,8,6,5,10,7,7,,2,4,1,1,3,4,1,1,,2,3
541370,5031,1420,464,196,108,56,43,25,33,48,21,21,13,15,10,3,5,5,,2,1,2,9
541380,2407,966,467,269,181,112,96,65,118,156,78,77,28,30,26,12,38,17,10,7,9,26,46
541410,9963,1187,306,110,60,42,34,25,28,15,6,10,3,3,4,,,2,1,,1,1,5
541420,1082,164,76,27,15,13,9,3,6,11,8,3,2,4,3,5,4,1,4,1,,4,10
541430,12537,1568,444,218,104,75,52,31,29,31,13,12,6,7,5,,3,,1,1,2,4,10
541490,1733,202,49,22,11,11,5,6,7,7,5,4,4,2,2,,2,,,1,1,4,3
541511,46362,6364,2653,1509,909,648,451,371,477,734,387,405,191,184,88,64,83,50,57,34,24,54,156
541512,30426,3726,1506,802,489,345,239,190,275,365,192,186,99,116,68,35,54,29,36,20,17,46,119
541513,3364,665,279,143,107,67,40,37,45,87,50,48,31,42,22,10,15,12,14,9,8,22,61
541519,8260,766,239,144,109,69,52,36,79,93,46,40,32,27,13,7,12,6,4,3,6,11,37
541611,57770,4659,1717,829,542,352,274,192,321,431,225,259,124,126,64,37,75,39,47,31,28,72,115
541612,4563,630,237,145,86,51,47,31,56,73,26,41,18,25,15,9,12,7,6,9,6,8,32
541613,27941,2494,941,500,325,199,133,108,152,166,77,78,33,37,22,8,21,16,21,8,3,21,54
541614,5193,660,246,127,89,57,33,34,38,78,56,53,18,24,19,8,21,8,7,9,5,17,48
541618,7422,420,137,72,35,10,22,12,25,25,13,10,3,3,2,3,4,2,1,2,,1,7
541620,5786,1215,476,241,142,111,79,47,74,113,37,57,21,26,11,6,9,11,11,3,4,13,18
541690,19778,1977,710,321,201,117,94,79,90,133,74,56,23,41,16,14,21,18,11,6,7,19,41
541711,1750,447,194,130,70,34,58,33,47,66,35,46,22,22,11,11,19,7,1,6,4,23,40
541712,5007,1375,664,357,235,183,133,106,170,226,137,148,75,111,66,37,90,43,68,50,33,132,258
541720,1069,221,110,56,32,23,17,16,20,34,19,18,13,7,7,9,9,3,2,6,1,6,13
541810,8017,1758,724,407,244,156,101,87,141,157,99,78,34,35,15,13,14,7,11,10,4,7,38
541820,5920,1001,358,187,78,65,41,21,29,45,20,22,12,9,5,3,8,2,,4,2,9,32
541830,503,109,46,22,17,14,8,,10,14,7,7,11,4,3,,6,2,1,1,1,3,9
541840,947,158,54,34,22,10,6,6,13,9,7,8,2,8,3,1,4,2,1,1,1,4,6
541850,1440,285,117,53,27,17,16,12,16,19,15,11,8,6,5,3,,1,2,4,1,2,5
541860,1353,409,193,116,77,64,37,19,41,57,29,26,15,17,12,5,5,4,4,,1,6,13
541870,527,84,36,20,8,7,8,6,11,13,7,5,8,2,7,2,4,1,,3,1,3,2
541890,4710,911,347,161,96,81,40,48,54,51,47,34,16,17,13,4,14,5,2,6,2,9,18
541910,2701,541,255,128,119,80,66,39,58,75,41,58,28,38,12,17,22,8,14,6,4,10,26
541921,7272,629,160,83,39,27,24,11,17,23,7,14,5,1,2,2,2,2,4,1,,2,3
541922,3276,261,75,30,17,8,8,3,4,13,3,2,2,1,1,3,,3,,,,,4
541930,1851,207,76,40,29,22,16,6,15,14,6,16,2,3,1,2,4,1,4,3,,2,3
541940,8855,8250,5010,2621,1397,673,414,233,280,210,71,45,12,9,6,2,5,,3,,2,2,6
541990,12356,1143,372,164,115,74,44,39,57,67,39,39,18,13,15,10,11,6,12,7,5,12,27
551111,63,19,14,23,17,24,23,19,52,78,67,79,56,47,21,18,22,12,12,15,6,12,11
551112,2472,416,197,143,99,74,73,55,97,186,138,252,133,200,134,88,158,105,117,102,52,172,280
551114,251,301,345,370,336,333,411,378,639,1452,1296,1905,1431,2133,1415,1015,1677,908,1076,678,415,1081,1435
561110,17576,3897,1723,946,623,445,354,272,418,540,319,371,220,263,156,91,196,87,109,86,44,120,231
561210,620,193,117,73,67,46,37,31,43,90,56,74,53,79,34,25,45,30,22,21,6,36,85
561311,3259,652,285,170,130,108,72,64,106,157,88,101,64,50,26,16,26,15,12,11,5,23,35
561312,4387,664,214,112,59,40,33,23,23,40,5,13,9,6,6,3,6,1,1,,,1,7
561320,3948,1187,807,559,448,403,322,274,516,863,592,724,475,574,283,205,328,153,175,95,53,109,127
561330,925,292,183,132,117,92,78,73,136,221,103,160,104,149,84,47,112,72,77,35,31,72,81
561410,3171,352,147,72,43,27,26,16,20,32,15,16,8,8,10,2,3,4,1,3,2,5,13
561421,399,215,187,134,70,42,26,16,25,32,15,19,5,3,5,4,5,,3,4,3,4,21
561422,1004,283,176,129,93,91,64,45,79,124,71,85,67,67,42,32,54,22,33,20,13,44,110
561431,2984,1197,176,58,27,10,6,7,6,7,1,6,2,2,1,1,2,1,1,,,,5
561439,1378,458,198,72,49,29,20,16,28,31,21,9,5,9,5,4,4,4,4,2,3,7,14
561440,1601,676,374,205,145,107,60,69,86,126,58,66,34,33,26,14,15,12,9,4,4,14,35
561450,191,48,33,16,16,6,5,3,6,8,4,6,2,2,,,,2,1,2,1,5,6
561491,457,140,40,36,19,7,7,3,4,13,3,2,1,1,1,,,,,,,,
561492,2799,219,74,35,24,12,8,7,6,11,6,1,1,1,,1,3,1,1,,,1,3
561499,2748,438,172,76,45,40,24,24,35,38,20,23,15,22,13,8,12,12,12,6,3,15,38
561510,7336,1124,305,135,85,66,46,26,54,55,29,23,20,17,9,6,12,6,6,7,4,6,13
561520,1658,441,158,79,46,35,31,18,17,25,19,13,5,10,5,3,7,4,3,4,,1,6
561591,518,194,68,37,27,10,8,10,14,22,13,5,2,4,,,,,1,,2,,
561599,980,215,83,52,38,20,15,4,24,23,23,23,11,13,13,6,8,6,9,8,4,6,30
561611,3063,460,182,121,60,27,34,14,27,45,19,21,6,12,5,1,8,1,2,2,1,6,16
561612,2076,812,538,394,281,195,158,152,204,324,193,200,131,132,67,34,54,20,27,14,4,25,42
561613,28,15,7,4,4,4,2,,3,5,5,4,3,,1,1,2,,1,,,,5
561621,3187,1032,447,238,156,108,76,50,70,96,47,48,18,20,9,10,10,6,8,1,3,7,26
561622,2750,635,162,63,34,13,6,5,4,8,3,5,,,,,,,,,,,2
561710,7579,2032,790,339,191,136,71,51,58,74,44,22,15,11,5,2,4,2,4,1,,2,4
561720,30873,8546,3690,2162,1315,895,667,486,664,785,376,403,199,229,118,54,89,43,56,20,14,28,44
561730,70760,12751,4389,2075,1212,705,548,407,470,560,232,204,88,76,26,14,21,7,7,5,,9,13
561740,5602,1111,349,155,77,54,37,25,30,32,15,17,5,5,1,1,2,1,1,,1,,3
561790,9311,1835,588,255,121,96,69,36,51,53,25,15,8,10,2,,5,2,1,,,4,1
561910,669,224,107,73,45,35,31,24,37,62,32,31,28,22,12,5,8,3,6,4,3,3,15
561920,3125,571,233,138,74,47,44,25,51,64,37,42,18,19,4,6,14,5,5,4,,7,12
561990,7492,1933,758,360,220,130,103,75,98,126,67,67,29,37,32,16,30,18,25,20,10,24,82
562111,3113,1449,647,376,223,168,110,87,122,113,69,62,33,30,13,11,16,6,12,2,3,7,11
562112,137,48,27,13,14,10,11,7,5,7,4,8,8,2,4,1,1,,,1,1,1,6
562119,438,126,47,26,9,11,6,8,10,11,4,3,1,,2,1,1,,,2,1,1,4
562211,165,68,38,23,20,14,9,4,7,11,5,5,6,9,6,3,4,,2,1,4,6,11
562212,288,150,63,43,17,11,6,10,11,8,5,8,2,6,2,3,5,3,2,1,2,4,7
562213,14,5,4,3,1,3,,1,2,,,,,2,,,,1,1,1,,1,6
562219,115,32,19,5,9,6,3,1,3,2,1,2,1,2,1,,,1,,1,1,1,3
562910,1401,638,352,206,147,103,85,60,82,103,64,49,19,31,15,13,7,3,4,5,5,14,26
562920,407,205,104,63,48,32,17,18,28,28,23,20,9,8,13,5,15,5,9,,1,6,10
562991,2140,663,223,96,58,28,19,17,19,18,6,9,2,1,2,,1,,3,,,1,
562998,516,211,104,62,26,13,13,13,17,14,5,7,5,1,,2,3,1,3,,1,,4
611110,2981,2117,1703,1360,1225,1116,1013,837,1306,2145,1171,1118,545,430,158,87,102,35,32,19,14,18,15
611210,98,49,26,17,12,13,12,15,21,30,22,30,17,32,23,14,18,4,12,5,3,7,12
611310,444,152,94,68,50,53,31,27,68,95,69,101,74,114,92,94,189,134,174,92,57,76,89
611410,68,16,10,6,4,3,4,2,7,4,,3,5,3,,2,1,,2,,,,
611420,952,181,68,41,34,18,17,9,19,18,9,4,7,2,1,3,3,,2,1,1,1,2
611430,4442,701,272,145,80,73,40,29,41,47,27,35,22,19,15,5,18,12,7,5,2,11,25
611511,503,308,175,121,70,43,34,15,30,27,13,8,4,4,2,3,3,2,,2,,1,3
611512,431,125,71,31,21,21,5,2,7,11,6,4,2,5,2,2,3,3,1,1,,1,7
611513,489,273,118,34,31,34,25,15,12,13,7,9,6,6,2,3,,1,,,1,,2
611519,1836,574,234,141,82,58,53,32,45,59,33,37,27,19,12,11,13,10,16,6,3,8,28
611610,7167,2906,1368,594,257,152,94,56,68,59,32,33,7,11,4,1,4,1,,,,,2
611620,9396,2574,1144,641,376,266,163,135,162,168,45,30,11,14,3,5,3,1,2,2,,4,2
611630,527,231,134,97,64,48,27,21,27,24,13,12,5,5,3,2,2,,,,,3,1
611691,3782,1517,845,502,322,168,106,67,96,131,38,53,17,26,21,17,13,6,5,3,4,3,2
611692,1409,455,169,76,33,26,13,7,7,20,5,7,4,1,,,,,1,,1,,1
611699,3849,771,345,172,89,78,27,24,32,37,17,13,9,15,4,2,8,3,3,2,1,3,6
611710,4788,866,348,212,99,78,47,47,59,72,47,50,24,22,18,10,17,3,9,3,4,9,12
621111,94110,37880,14133,6885,4025,2601,1807,1260,1792,1944,925,817,388,407,193,113,182,96,110,80,62,161,265
621112,8696,1024,251,115,54,28,25,21,15,32,19,19,17,19,8,10,14,11,15,10,7,25,42
621210,50673,49732,16065,5036,1882,847,470,277,286,227,76,80,42,47,27,13,25,9,11,7,6,10,12
621310,29607,7173,1252,300,127,49,28,13,27,10,6,1,3,6,2,,2,,2,,1,2,4
621320,10808,5916,1805,635,270,163,81,47,55,59,29,27,10,15,7,3,5,4,3,,3,2,14
621330,16925,1389,552,276,143,122,84,56,87,154,72,92,54,60,33,37,36,23,21,10,5,11,26
621340,14820,4755,2011,1035,552,335,221,161,216,233,136,125,46,73,59,40,53,28,46,28,22,45,101
621391,5143,1934,420,160,75,34,22,10,9,10,8,5,3,5,4,,5,3,3,4,1,5,11
621399,12989,1514,487,214,113,93,70,61,83,65,30,31,17,20,5,6,13,9,15,8,2,12,43
621410,698,304,114,55,45,25,19,10,18,20,20,20,13,21,11,6,12,1,1,1,1,3,6
621420,1913,589,358,253,178,126,84,96,155,229,148,194,163,182,128,82,117,49,37,17,16,26,61
621491,47,17,4,2,1,2,,,,2,,2,1,2,,,2,2,,,,1,10
621492,131,56,29,27,28,21,19,14,15,14,12,8,5,4,1,3,6,5,5,4,5,4,19
621493,1013,620,528,388,291,215,145,130,149,150,64,56,17,35,27,24,39,13,25,16,19,58,127
621498,1966,974,378,246,146,127,83,78,124,182,144,185,142,173,98,53,102,55,52,32,29,69,157
621511,1491,512,248,131,105,66,42,33,57,71,49,61,33,40,20,20,29,13,21,12,6,28,74
621512,2412,718,361,210,127,113,62,62,64,108,80,60,35,46,24,9,28,19,15,23,10,37,89
621610,7609,2476,1670,1320,974,784,668,569,867,1239,742,736,391,394,190,130,160,101,98,58,43,104,188
621910,658,356,374,360,255,204,139,107,170,175,100,108,46,55,21,17,17,3,6,5,5,19,37
621991,88,51,17,14,10,6,10,5,5,16,9,26,21,10,8,8,7,5,5,2,2,4,10
621999,1738,453,186,93,58,41,32,26,51,57,35,38,27,37,21,13,17,9,21,12,5,14,41
622110,126,13,9,4,3,2,4,7,18,89,107,244,231,314,172,140,234,152,186,153,108,253,305
622210,32,6,3,4,2,2,2,2,5,11,11,25,24,59,40,40,51,21,24,14,5,18,57
622310,65,17,4,2,2,,1,5,6,23,24,35,18,21,18,6,29,15,17,13,13,30,96
