TAZ,CountyFIPS,StateFIPS,LEmp,n2,PctEmp,CumPctEmp,EmpRank
3468,65,1,0,55,0,0,1
3468,65,1,34,56,1,1,10
3468,65,1,501,61,1,1,10
3468,65,1,413,62,1,1,10
3468,65,1,10,71,1,1,10
3468,65,1,105,72,1,1,10
3468,65,1,41,81,1,1,10
3468,65,1,255,92,1,1,10
3468,65,1,503,3133,1,1,10
3468,65,1,311,4445,1,1,10
3468,65,1,76,4849,1,1,10
3357,67,1,378,11,1,1,10
3357,67,1,0,21,0,0,1
3357,67,1,47,22,1,1,10
3357,67,1,171,23,1,1,10
3357,67,1,113,42,1,1,10
3357,67,1,8,51,1,1,10
3357,67,1,85,52,1,1,10
3357,67,1,13,53,1,1,10
3357,67,1,142,54,1,1,10
3357,67,1,19,55,1,1,10
3357,67,1,71,56,1,1,10
3357,67,1,359,61,1,1,10
3357,67,1,433,62,1,1,10
3357,67,1,4,71,1,1,10
3357,67,1,188,72,1,1,10
3357,67,1,54,81,1,1,10
3357,67,1,282,92,1,1,10
3357,67,1,408,3133,1,1,10
3357,67,1,306,4445,1,1,10
3357,67,1,232,4849,1,1,10
3340,69,1,129,11,1,1,10
3340,69,1,21,21,1,1,10
3340,69,1,1000,22,1,1,10
3340,69,1,1929,23,1,1,10
3340,69,1,2585,42,1,1,10
3340,69,1,794,51,1,1,10
3340,69,1,1097,52,1,1,10
3340,69,1,481,53,1,1,10
3340,69,1,1230,54,1,1,10
3340,69,1,144,55,1,1,10
3340,69,1,2647,56,1,1,10
3340,69,1,3226,61,1,1,10
3340,69,1,10212,62,1,1,10
3340,69,1,370,71,1,1,10
3340,69,1,4864,72,1,1,10
3340,69,1,1200,81,1,1,10
3340,69,1,2082,92,1,1,10
3340,69,1,3544,3133,1,1,10
3340,69,1,7730,4445,1,1,10
3340,69,1,1744,4849,1,1,10
3407,71,1,58,11,1,1,10
3407,71,1,13,21,1,1,10
3407,71,1,192,22,1,1,10
3407,71,1,486,23,1,1,10
3407,71,1,685,42,1,1,10
3407,71,1,105,51,1,1,10
3407,71,1,384,52,1,1,10
3407,71,1,107,53,1,1,10
3407,71,1,332,54,1,1,10
3407,71,1,35,55,1,1,10
3407,71,1,455,56,1,1,10
