fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
23,19,721110,,G,639,G,2515,G,11327,41,14,9,4,13,1,0,0,0,0,0,0,0,0,11,19
23,19,72112/,E,D,0,D,0,D,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,19
23,19,721120,E,D,0,D,0,D,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,19
23,19,72119/,A,D,0,D,0,D,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,721191,A,D,0,D,0,D,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,721199,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7212//,,H,22,S,0,H,558,16,14,2,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,72121/,,H,22,S,0,H,558,16,14,2,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,721211,,G,3,S,0,G,224,8,8,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,721214,A,D,0,D,0,D,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,7213//,A,S,0,S,0,H,106,7,7,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,72131/,A,S,0,S,0,H,106,7,7,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,721310,A,S,0,S,0,H,106,7,7,0,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,722///,,G,4933,G,16179,G,70047,274,69,47,73,64,19,2,0,0,0,0,0,0,0,11,19
23,19,7223//,C,D,0,D,0,D,0,13,6,2,1,4,0,0,0,0,0,0,0,0,0,11,19
23,19,72231/,C,D,0,D,0,D,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,11,19
